scenario,planner,total_time_s,flight_distance_m,success_rate,mission_feasible,max_blackout_s,wait_time_s,service_time_s,reconnect_count,protocol_switches,radio_obstacle_hits,route,study,parameter,value
sleep_cycle_factor_1.00,distance_only,2126.934,2906.071,1.0,False,203.015,1045.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,sleep_cycle_factor,1.0
sleep_cycle_factor_1.00,ordinary_collection,1609.248,2926.059,1.0,False,114.121,497.188,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,sleep_cycle_factor,1.0
sleep_cycle_factor_1.00,protocol_aware,1371.245,3147.929,1.0,True,87.981,244.276,864.642,14,12,3,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14,protocol_parameter,sleep_cycle_factor,1.0
sleep_cycle_factor_1.00,bounded_blackout,1357.891,3023.825,1.0,True,56.461,231.51,874.396,14,13,3,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04,protocol_parameter,sleep_cycle_factor,1.0
sleep_cycle_factor_1.00,genetic_algorithm,1493.225,4899.261,1.0,True,101.3,207.292,877.661,14,11,3,N12 -> N02 -> N09 -> N05 -> N06 -> N14 -> N13 -> N11 -> N08 -> N07 -> N04 -> N10 -> N01 -> N03,protocol_parameter,sleep_cycle_factor,1.0
sleep_cycle_factor_1.00,particle_swarm,1470.899,4027.962,1.0,True,116.623,301.32,833.915,14,11,3,N11 -> N13 -> N05 -> N10 -> N08 -> N12 -> N09 -> N03 -> N14 -> N02 -> N07 -> N04 -> N06 -> N01,protocol_parameter,sleep_cycle_factor,1.0
sleep_cycle_factor_1.50,distance_only,2006.934,2906.071,1.0,False,189.842,925.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,sleep_cycle_factor,1.5
sleep_cycle_factor_1.50,ordinary_collection,1861.248,2926.059,1.0,False,141.015,749.188,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,sleep_cycle_factor,1.5
sleep_cycle_factor_1.50,protocol_aware,1606.005,3935.276,1.0,False,88.203,401.706,876.359,14,13,3,N14 -> N01 -> N12 -> N04 -> N06 -> N13 -> N07 -> N08 -> N03 -> N02 -> N11 -> N10 -> N09 -> N05,protocol_parameter,sleep_cycle_factor,1.5
sleep_cycle_factor_1.50,bounded_blackout,1328.945,3335.907,1.0,True,80.032,165.754,885.199,13,11,3,N01 -> N14 -> N02 -> N03 -> N05 -> N12 -> N13 -> N04 -> N07 -> N10 -> N11 -> N06 -> N09 -> N08,protocol_parameter,sleep_cycle_factor,1.5
