scenario,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
random_129,soft_penalty_w12,950.556,66.999,39.609,16.108,481.778,1,1,295.477,N14 -> N04 -> N03 -> N01 -> N07 -> N08 -> N09 -> N02 -> N06 -> N12 -> N05 -> N13 -> N11 -> N10
random_129,average_gap,789.525,77.307,28.192,12.057,380.987,1,1,481.569,N13 -> N11 -> N06 -> N01 -> N07 -> N08 -> N02 -> N10 -> N03 -> N09 -> N04 -> N14 -> N05 -> N12
random_129,freshness_focused,884.761,113.076,34.038,17.786,316.132,0,1,576.446,N13 -> N11 -> N02 -> N06 -> N07 -> N14 -> N04 -> N08 -> N03 -> N01 -> N09 -> N10 -> N05 -> N12
random_129,bounded_beta90,713.961,50.599,23.87,8.462,356.299,1,1,1220.029,N13 -> N11 -> N10 -> N08 -> N02 -> N06 -> N07 -> N14 -> N05 -> N12 -> N04 -> N09 -> N01 -> N03
random_130,distance_only,1602.198,197.189,63.971,33.211,867.558,0,0,0.027,N12 -> N14 -> N09 -> N01 -> N10 -> N03 -> N11 -> N07 -> N06 -> N04 -> N08 -> N02 -> N13 -> N05
random_130,ordinary_collection,1525.555,197.189,58.867,33.264,864.654,0,0,14.327,N12 -> N14 -> N09 -> N01 -> N10 -> N03 -> N06 -> N07 -> N11 -> N04 -> N08 -> N05 -> N02 -> N13
random_130,protocol_aware_time,1346.542,158.855,46.587,18.821,609.676,0,1,225.069,N06 -> N05 -> N13 -> N14 -> N11 -> N10 -> N07 -> N12 -> N09 -> N02 -> N08 -> N03 -> N04 -> N01
random_130,soft_penalty_w12,1296.279,78.362,42.775,12.343,745.478,1,1,305.64,N05 -> N04 -> N01 -> N10 -> N08 -> N09 -> N07 -> N11 -> N06 -> N03 -> N13 -> N02 -> N12 -> N14
random_130,average_gap,1284.357,149.038,40.666,17.153,752.6,0,1,666.993,N04 -> N14 -> N12 -> N03 -> N10 -> N01 -> N11 -> N07 -> N06 -> N09 -> N02 -> N05 -> N08 -> N13
random_130,freshness_focused,1370.055,113.515,47.569,17.47,540.355,0,1,669.941,N13 -> N02 -> N01 -> N11 -> N10 -> N06 -> N07 -> N12 -> N09 -> N14 -> N05 -> N03 -> N04 -> N08
random_130,bounded_beta90,1101.061,48.941,28.623,6.839,527.273,1,1,1505.575,N13 -> N09 -> N02 -> N08 -> N05 -> N14 -> N11 -> N07 -> N06 -> N10 -> N04 -> N01 -> N12 -> N03
random_131,distance_only,1675.362,214.163,68.989,34.755,681.979,0,0,0.026,N10 -> N07 -> N08 -> N01 -> N02 -> N09 -> N13 -> N06 -> N03 -> N04 -> N12 -> N11 -> N05 -> N14
