scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
704,10.0,bounded_blackout,1157.727,3166.393,116.553,0,1,1825.877,N11 -> N14 -> N10 -> N06 -> N03 -> N13 -> N09 -> N04 -> N01 -> N05 -> N07 -> N08 -> N12 -> N02
704,20.0,distance_only,2160.224,3343.178,227.996,0,0,0.021,N14 -> N13 -> N03 -> N04 -> N06 -> N01 -> N10 -> N02 -> N12 -> N11 -> N09 -> N08 -> N07 -> N05
704,20.0,protocol_aware,1416.867,3155.69,146.77,0,1,243.498,N11 -> N06 -> N12 -> N01 -> N08 -> N02 -> N10 -> N05 -> N07 -> N14 -> N09 -> N03 -> N04 -> N13
704,20.0,bounded_blackout,1383.004,3166.393,190.828,0,1,1825.877,N11 -> N14 -> N10 -> N06 -> N03 -> N13 -> N09 -> N04 -> N01 -> N05 -> N07 -> N08 -> N12 -> N02
704,30.0,distance_only,1876.408,3343.178,205.409,0,0,0.021,N14 -> N13 -> N03 -> N04 -> N06 -> N01 -> N10 -> N02 -> N12 -> N11 -> N09 -> N08 -> N07 -> N05
704,30.0,protocol_aware,1401.929,3155.69,217.11,0,1,243.498,N11 -> N06 -> N12 -> N01 -> N08 -> N02 -> N10 -> N05 -> N07 -> N14 -> N09 -> N03 -> N04 -> N13
704,30.0,bounded_blackout,1638.336,3166.393,214.654,0,0,1825.877,N11 -> N14 -> N10 -> N06 -> N03 -> N13 -> N09 -> N04 -> N01 -> N05 -> N07 -> N08 -> N12 -> N02
705,0.0,distance_only,1421.986,2387.327,126.194,0,1,0.021,N10 -> N13 -> N02 -> N11 -> N05 -> N12 -> N14 -> N03 -> N09 -> N06 -> N08 -> N04 -> N07 -> N01
705,0.0,protocol_aware,1181.842,3367.157,81.075,1,1,436.263,N14 -> N04 -> N08 -> N05 -> N03 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N01 -> N11 -> N10
705,0.0,bounded_blackout,1155.768,3409.293,58.774,1,1,2062.725,N01 -> N03 -> N08 -> N05 -> N14 -> N12 -> N07 -> N02 -> N09 -> N06 -> N13 -> N04 -> N10 -> N11
